,Страна,Категория,"Взлетный вес, кг","Длительность полета, час","Практическая дальность, км","Практический потолок, м",Метод запуска,Метод посадки,Тип двигателя,"Размах крыльев, м","Максимальная скорость полета, км/ч",Статус,Производитель,"Полезная нагрузка, кг",Навигация,Диапазон рабочих температур,"Диаметр несущего винта, м","Диагональ рамы, м"
386,Россия,Коптерный тип,20,3,60,500,Вертикальный,Вертикальный,ДВС,,70,В производстве,"НПЦ ""НЕЛК""",,"GPS, ГЛОНАСС",−25°С..+40°С,,"1,25"
387,Россия,Коптерный тип,12,1,5,1000,Вертикальный,Вертикальный,Электрический,,70,В производстве,"НПЦ ""НЕЛК""",,GPS,−25°С..+40°С,,"1,05"
388,Россия,Коптерный тип,9,0.66,5,1000,Вертикальный,Вертикальный,Электрический,,50,В производстве,"НПЦ ""НЕЛК""",,GPS,−25°С..+40°С,,0.81
389,Германия,Коптерный тип,1.1,0.5,6,4000,Вертикальный,Вертикальный,Электрический,,28,В производстве,Microdrones,0.25,"GPS, ГЛОНАСС",−20°C..+50 °C,,0.91
390,Германия,Коптерный тип,6,0.75,20,4000,Вертикальный,Вертикальный,Электрический,,43,В производстве,Microdrones,1.2,"GPS, ГЛОНАСС",–10°С..+50°С,,1.03
391,Украина,Самолетный тип,2.5,2,50,2100,Пусковая установка,Парашютная система,Электрический,1.6,130,В производстве,НПП «Атлон Авиа»,,GPS,,,
392,Украина,Самолетный тип,200,8,1050,5000,Шасси,Шасси,ДВС,6.7,150,В разработке,ГП «Антонов»,50,,,,
393,Украина,Самолетный тип,5,0.5,40,3100,С руки,В сетку,Электрический,1,80,В производстве,Национальный авиационный университет Украины,2,,,,
394,Украина,Самолетный тип,25,4,150,4000,Пусковая установка,Парашютная система,ДВС,,150,В производстве,Укртехно-Атом,,,–40°С..+50°С,,
395,Украина,Самолетный тип,150,5,1500,4100,Шасси,Шасси,ДВС,5.16,190,В производстве,"НПЦБА ""Вираж"" НАУ",55,,,,
396,Украина,Самолетный тип,4.95,2,20,3100,Пусковая установка,Парашютная система,Электрический,,130,В производстве,"НПЦБА ""Вираж"" НАУ",0.8,,,,
397,Украина,Самолетный тип,5,2,20,4100,Пусковая установка,Парашютная система,Электрический,1.5,150,В производстве,Государственным Киевским конструкторским бюро «Луч»,1,GPS,,,
398,Украина,Самолетный тип,5,1.5,35,2100,С руки,Парашютная система,Электрический,1.6,80,В производстве,Укроборонпромом,,,,,
399,Украина,Самолетный тип,50000,,4500,300000,Пусковая установка,Парашютная система,Газотурбинный,14,1200,В разработке,Национальное аэрокосмическое агентство,300,,,,
400,Украина,Самолетный тип,8,1.5,40,4000,С руки,На фюзеляж,Электрический,1.3,120,В производстве,Авиация Армия SOS,Нет данных,Нет данных,Нет данных,,
401,Украина,Коптерный тип,4.5,0.67,10,300,Вертикальный,Вертикальный,Электрический,,40,В производстве,Drone UA,,GPS,,,"0,7"
402,Украина,Коптерный тип,2,0.75,15,2000,Пусковая установка,Парашютная система,Электрический,0.72,75,В производстве,Smic Aerospace,,,,,
403,Украина,Самолетный тип,240,,500,5000,Шасси,Шасси,ДВС,6.8,120,В производстве,Юмик Аэроспейс,40,,,,
404,Украина,Самолетный тип,3,1.4,15,1200,Пусковая установка,Трос,Электрический,1.9,80,В производстве,Drone UA,,,,,
405,Украина,Самолетный тип,33,5,50,2000,Шасси,Шасси,ДВС,3,140,В производстве,UkrSpecSystems,8,,,,
406,Украина,Самолетный тип,35,4,100,5000,Пусковая установка,"В сетку, Парашютная система",ДВС,1.4,400,В производстве,UAvia,10,,,,
407,Украина,Самолетный тип,4,1,15,2000,Пусковая установка,Парашютная система,Электрический,0.98,100,В производстве,Spai Tech,,GPS,,,
408,Украина,Самолетный тип,4.8,1,20,3100,С руки,Парашютная система,Электрический,1.66,90,В производстве,Политек-Аэро,1.5,,,,
409,Украина,Самолетный тип,20,10,500,4000,Шасси,Шасси,ДВС,3.6,150,В производстве,Smic Aerospace,1,,,,
410,Украина,Коптерный тип,10,0.83,6,1000,Вертикальный,Вертикальный,Электрический,,60,В производстве,Smic Aerospace,5,,,,
411,Украина,Самолетный тип,4,0.5,10,2100,Пусковая установка,На фюзеляж,Электрический,1.4,150,В производстве,"WB Electronics, Чезара",,,,,
412,Белоруссия,Самолетный тип,210,8,290,4200,Шасси,Шасси,ДВС,2.8,250,В производстве,Физико-технический университет Республики Беларусь,,,,,
413,Белоруссия,Самолетный тип,250,10,300,5000,Шасси,Шасси,ДВС,2.8,250,В производстве,НАН Республики Белорусь,,,,,
414,Белоруссия,Вертолетный тип,124,1.5,60,750,Вертикальный,Вертикальный,ДВС,,60,Снято с производства,Independent Development Laboratory,,,,3.16,
415,Белоруссия,Вертолетный тип,150,6,420,3000,Вертикальный,Вертикальный,ДВС,,90,Снято с производства,Independent Development Laboratory,,,,3.28,
416,Белоруссия,Вертолетный тип,32,0.83,20,1800,Вертикальный,Вертикальный,Газотурбинный,,,Снято с производства,Independent Development Laboratory,,,,2.4,
417,Белоруссия,Вертолетный тип,125,1.5,50,1500,Вертикальный,Вертикальный,ДВС,,70,В производстве,Independent Development Laboratory,,,,3.16,
418,Белоруссия,Коптерный тип,12,0.67,20,2100,Вертикальный,Вертикальный,Электрический,,60,Снято с производства,Independent Development Laboratory,,,–15°С..+55°С,,
419,Белоруссия,Самолетный тип,155,5,500,9000,Пусковая установка,Парашютная система,Газотурбинный,2.98,780,Снято с производства,Indela,,,,,
420,Вьетнам,Самолетный тип,26,,50,4500,Шасси,Шасси,ДВС,3.3,150,В производстве,Viettel Corporation,,,,,
421,Австрия,Коптерный тип,5,0.58,10,1000,Вертикальный,Вертикальный,Электрический,,45,В производстве,Eye.Aero,,,,,
422,Алжир,Самолетный тип,50,,240,3500,Шасси,Шасси,ДВС,3.62,150,В производстве,Центр научно-исследовательских технологий Алжира,,,,,
423,Алжир,Самолетный тип,70,36,720,7000,Шасси,Шасси,ДВС,2.5,175,В производстве,Star Aviation,,,,,
424,Бельгия,Коптерный тип,2.8,0.67,2.5,250,Вертикальный,Вертикальный,Электрический,,36,Снято с производства,Altigator,,,,,
425,Бельгия,Коптерный тип,3.4,0.25,1,320,Вертикальный,Вертикальный,Электрический,,20,Снято с производства,Altigator,2,GPS,,,
426,Бельгия,Коптерный тип,2.5,0.33,3.5,3350,Вертикальный,Вертикальный,Электрический,,20,В производстве,OnyxStar,,GPS,,,
427,Бельгия,Коптерный тип,6,0.62,1,400,Вертикальный,Вертикальный,Электрический,,15,В производстве,OnyxStar,,,,,
428,Бельгия,Коптерный тип,23,0.5,2,900,Вертикальный,Вертикальный,Электрический,,35,В производстве,OnyxStar,,GPS,,,
429,Бельгия,Самолетный тип,2.2,0.75,53,2500,Пусковая установка,Парашютная система,Электрический,1,95,В производстве,Gatewing,,GPS,,,
430,Бельгия,Самолетный тип,2.5,0.83,60,5000,Пусковая установка,Парашютная система,Электрический,1,100,В производстве,Trimble Navigation Limited,,GPS,–5°С..+35°С,,
431,Бельгия,Коптерный тип,5,0.33,5,2100,Вертикальный,Вертикальный,Электрический,,50,В производстве,Trimble Navigation Limited,2.3,,,,
432,Латвия,Самолетный тип,22.5,20,100,4100,Шасси,Шасси,ДВС,3.3,150,В производстве,UAV Factory,,,,,
433,Латвия,Самолетный тип,21.5,2,30,3500,Шасси,Шасси,Электрический,3.3,130,В производстве,UAV Factory,,,,,
434,Латвия,Коптерный тип,16,2,2.5,250,Вертикальный,Вертикальный,Электрический,,60,В производстве,MMS Drones,4,GPS,,,1.2
435,Венгрия,Самолетный тип,4.5,2,15,3100,С руки,В сетку,Электрический,3.34,148,В производстве,Hi Aero Kft,,GPS,,,
436,Венгрия,Коптерный тип,5.2,0.5,10,4100,Вертикальный,Вертикальный,Электрический,,40,В производстве,Interspect,,,,,
437,Грузия,Самолетный тип,9,,150,3000,Пусковая установка,Парашютная система,ДВС,1.6,160,Снято с производства,Unmanned Systems,,,,,
438,Норвегия,Самолетный тип,150,,150,4100,Шасси,Шасси,ДВС,7,150,Снято с производства,Robot Aviation,,,,,
439,Россия,Самолетный тип,5.1,1.5,97,5000,Вертикальный,Вертикальный,Электрический,2.1,90,В производстве,Совзонд,0.9,Нет данных,−20°С..+40°С,,
440,Россия,Самолетный тип,5.4,3,150,5000,Пусковая установка,Парашютная система,Электрический,2.1,90,В производстве,Совзонд,1.2,Нет данных,−20°С..+40°С,,
441,Россия,Самолетный тип,3.1,1.67,70,2000,Пусковая установка,Парашютная система,Электрический,1.28,90,В производстве,Совзонд,0.7,Нет данных,−20°С..+40°С,,
442,Россия,Самолетный тип,1.45,0.83,70,5000,С руки,Парашютная система,Электрический,1.2,90,В производстве,Совзонд,0.25,Нет данных,−20°С..+40°С,,
443,Россия,Коптерный тип,16.5,0.92,45,2000,Вертикальный,Вертикальный,Электрический,,54,В производстве,Совзонд,10,Нет данных,−20°С..+40°С,,0.96
444,Россия,Коптерный тип,10.9,0.67,30,2000,Вертикальный,Вертикальный,Электрический,,54,В производстве,Совзонд,5,Нет данных,−20°С..+40°С,,0.96
445,Россия,Коптерный тип,3.3,1,45,500,Вертикальный,Вертикальный,Электрический,,54,В производстве,Совзонд,0.6,Нет данных,−20°С..+40°С,,0.75
446,Россия,Коптерный тип,2.6,0.63,30,500,Вертикальный,Вертикальный,Электрический,,54,В производстве,Совзонд,0.4,Нет данных,−20°С..+40°С,,0.65
447,Россия,Коптерный тип,39.2,0.3,,35,Вертикальный,Вертикальный,Электрический,,22,В производстве,Совзонд,26,Нет данных,0°С..+50°С,,
448,Россия,Самолетный тип,8.5,3,210,4000,Пусковая установка,Парашютная система,Электрический,2.22,130,В производстве,Геоскан,1.5,,−20°С..+40°С,,
449,Россия,Самолетный тип,8.5,3,210,4000,Пусковая установка,Парашютная система,Электрический,2.22,130,В производстве,Геоскан,1.5,,−20°С..+40°С,,
450,Россия,Самолетный тип,8.5,3,210,4000,Пусковая установка,Парашютная система,Электрический,2.22,130,В производстве,Геоскан,1.5,GPS,−20°С..+40°С,,
451,Россия,Коптерный тип,9.3,1,24,500,Вертикальный,Вертикальный,Электрический,,50,В производстве,Геоскан,2.5,,−20°С..+40°С,,
452,Россия,Коптерный тип,,1,22,500,Вертикальный,Вертикальный,Электрический,,50,В производстве,Геоскан,,,−20°С..+40°С,,
453,Россия,Коптерный тип,9.3,1,24,500,Вертикальный,Вертикальный,Электрический,,50,В производстве,Геоскан,2.5,,−20°С..+40°С,,
454,Россия,Коптерный тип,,72,,100,Вертикальный,Вертикальный,Электрический,,,В производстве,Геоскан,2,,−20°С..+40°С,,
455,Россия,Самолетный тип,3.1,1,70,4000,Пусковая установка,Парашютная система,Электрический,1.38,130,В производстве,Геоскан,,,−20°С..+40°С,,
456,США,Самолетный тип,149,5,125,4570,Шасси,Шасси,Газотурбинный,3.89,227,В производстве,AAI Corporation,,,,,
457,Норвегия,Вертолетный тип,"0,011",0.42,"2,5",250,Вертикальный,Вертикальный,Электрический,,18,В производстве,Prox Dynamics,Нет данных,GPS,Нет данных,"0,06",
458,Канада,Коптерный тип,2.4,0.83,5,4500,Вертикальный,Вертикальный,Электрический,,95,В производстве,Aeryon Labs,0.7,GPS,−30°C.. +50°C,,1.02
459,Норвегия,Самолетный тип,20,4,500,5000,Пусковая установка,На фюзеляж,ДВС,"3,80",140,В производстве,NORUT,7,GPS,–40°С..+40°С,,
460,Канада,Самолетный тип,144,1.4,150,7620,Пусковая установка,Парашютная система,Газотурбинный,2.55,1200,В производстве,Cassidian,,GPS,,,
461,Норвегия,Коптерный тип,75,0.67,15,1000,Вертикальный,Вертикальный,Электрический,,60,В производстве,Griff Aviation,235,Нет данных,Нет данных,,1.2
462,Австралия,Самолетный тип,260,Нет данных,500,6100,Пусковая установка,На фюзеляж,Газотурбинный,1.54,685,Снято с производства,Government Aircraft Factory,Нет данных,Нет данных,Нет данных,,
463,Австралия,Самолетный тип,7,нет данных,20,2000,Шасси,Шасси,Электрический,1.2,75,В производстве,Advanced VTOL Technologies,Нет данных,Нет данных,Нет данных,,
464,Япония,Вертолетный тип,88,1,35,2100,Вертикальный,Вертикальный,ДВС,,120,В производстве,Yamaha Motor Company,,,,3.11,
465,Япония,Вертолетный тип,794,2.5,250,3500,Вертикальный,Вертикальный,ДВС,,120,В производстве,Kawada Industries Inc,294,,,8.18,
466,Япония,Коптерный тип,38.8,0.5,15,2100,Вертикальный,Вертикальный,Электрический,,60,В производстве,Prodrone,20,,,,1.62
467,Австралия,Коптерный тип,5.03,0.2,2,150,Вертикальный,Вертикальный,Электрический,,20,В производстве,Coptercam Pty,,Нет данных,Нет данных,,1.1
468,Япония,Самолетный тип,150,,1000,12000,Шасси,"Парашютная система, Шасси",Газотурбинный,2.5,2000,В разработке,JAXA,,,,,
469,Австралия,Коптерный тип,4.2,0.25,5,200,Вертикальный,Вертикальный,Электрический,,25,В производстве,Cyber Technology,0.5,GPS,–10°С..+50°С,,0.65
470,Австралия,Самолетный тип,60,Нет данных,160,4500,Шасси,Шасси,ДВС,4.5,120,В производстве,Cyber Technology,Нет данных,Нет данных,Нет данных,,
471,Австралия,Самолетный тип,72,0.67,100,5100,Шасси,Шасси,ДВС,3,640,В производстве,Cyber Technology,Нет данных,Нет данных,Нет данных,,
472,Австралия,Самолетный тип,10,Нет данных,10,4500,Пусковая установка,На фюзеляж,Электрический,2.5,90,Снято с производства,Codarra Advanced Systems,Нет данных,Нет данных,Нет данных,,
473,Япония,Самолетный тип,155,,50,4100,Пусковая установка,Парашютная система,ДВС,3.51,350,Снято с производства,Kawasaki Aerospace Company,,,,,
474,Австралия,Коптерный тип,6,0.33,5,400,Вертикальный,Вертикальный,Электрический,,25,В производстве,Entecho,0,Нет данных,Нет данных,,0.6
475,Япония,Самолетный тип,3700,72,10000,9100,Шасси,Шасси,Электрический,46,350,В производстве,JAXA,,,,,
476,Австралия,Самолетный тип,80,4,400,6100,Пусковая установка,На фюзеляж,ДВС,5.40,350,В производстве,Radotec,Нет данных,Нет данных,Нет данных,,
477,Япония,Вертолетный тип,50,,20,2500,Вертикальный,Вертикальный,ДВС,,100,Снято с производства,Fuji Heavy Industry,,,,1.92,
478,Япония,Вертолетный тип,100,,120,3100,Вертикальный,Вертикальный,Газотурбинный,,140,В производстве,Fuji Heavy Industry,,,,2.33,
479,Австралия,Самолетный тип,55,Нет данных,100,7600,Пусковая установка,На фюзеляж,ДВС,2,555,В производстве,Air Affairs,Нет данных,Нет данных,Нет данных,,
480,Япония,Самолетный тип,120,,250,12000,Шасси,Шасси,Газотурбинный,1.18,750,Снято с производства,Fuji Heavy Industry,,,,,
481,Аргентина,Самолетный тип,,1,150,7100,Пусковая установка,Парашютная система,Газотурбинный,1.5,650,В производстве,Aerodreams,20,,,,
482,Австралия,Самолетный тип,20,10,250,5100,Шасси,Шасси,ДВС,4,145,В производстве,Silvertone,10,Нет данных,Нет данных,,
483,Австралия,Самолетный тип,33,Нет данных,300,5000,Шасси,Шасси,Газотурбинный,2.8,400,В производстве,Thales Group,Нет данных,Нет данных,Нет данных,,
484,Аргентина,Самолетный тип,70,4.5,200,5100,Пусковая установка,На фюзеляж,ДВС,3,150,Снято с производства,Aerodreams,,,,,
485,Австралия,Самолетный тип,25,1,25,3500,Шасси,Шасси,ДВС,2.36,80,В производстве,специалисты и инженеры Сиднейского университета,Нет данных,Нет данных,Нет данных,,
486,Аргентина,Самолетный тип,120,0.67,120,9000,Пусковая установка,Парашютная система,Газотурбинный,3.3,700,Снято с производства,Quimar,,,,,
487,Аргентина,Самолетный тип,150,1.33,250,9100,Пусковая установка,Парашютная система,Газотурбинный,1.6,920,Снято с производства,Quimar,,,,,
488,Армения,Самолетный тип,50,Нет данных,320,4500,Шасси,Шасси,ДВС,2.62,130,В производстве,Специалисты ВВС,Нет данных,Нет данных,Нет данных,,
489,Бельгия,Самолетный тип,2,0.75,20,750,Пусковая установка,На фюзеляж,Электрический,1,90,В производстве,Getewing,Нет данных,Нет данных,Нет данных,,
490,Хорватия,Самолетный тип,200,10,200,4100,Шасси,Шасси,ДВС,6,120,В производстве,Soko ZI,,,,,
491,Болгария,Самолетный тип,62.5,Нет данных,15,2200,Пусковая установка,На фюзеляж,ДВС,3.52,190,Снято с производства,Авиатехника,5,Нет данных,Нет данных,,
492,Великобритания,Коптерный тип,80,Нет данных,25,3100,Вертикальный,Вертикальный,ДВС,,80,Снято с производства,Aesir,Нет данных,Нет данных,Нет данных,,1.2
493,Великобритания,Самолетный тип,Нет данных,Нет данных,21300,7100,Пусковая установка,На фюзеляж,Электрический,28,100,Снято с производства,Airbus,Нет данных,Нет данных,Нет данных,,
494,Великобритания,Вертолетный тип,4.8,0.5,10,2100,Вертикальный,Вертикальный,Электрический,,70,В производстве,advanced UAV Technology,Нет данных,Нет данных,Нет данных,1.7,
495,Великобритания,Вертолетный тип,12.5,Нет данных,25,2100,Вертикальный,Вертикальный,Электрический,,80,В производстве,advanced UAV Technology,5.5,Нет данных,Нет данных,1.9,
496,Великобритания,Вертолетный тип,7,2.5,15,2100,Вертикальный,Вертикальный,Электрический,,80,В производстве,advanced UAV Technology,Нет данных,Нет данных,Нет данных,1.99,
497,Великобритания,Вертолетный тип,16,2,25,2100,Вертикальный,Вертикальный,Электрический,,120,В производстве,advanced UAV Technology,Нет данных,Нет данных,Нет данных,2.1,
498,Великобритания,Вертолетный тип,25,6,20,2100,Вертикальный,Вертикальный,Электрический,,160,В производстве,advanced UAV Technology,Нет данных,Нет данных,Нет данных,3,
499,США,Коптерный тип,1.68,0.36,3,500,Вертикальный,Вертикальный,Электрический,,60,В производстве,3D Robotics,Нет данных,GPS,Нет данных,,0.46
500,США,Коптерный тип,1.8,Нет данных,0.8,122,Вертикальный,Вертикальный,Электрический,,89,В производстве,Нет данных,Нет данных,Нет данных,Нет данных,,0.46
501,США,Самолетный тип,212,Нет данных,125,3660,Шасси,Шасси,Газотурбинный,4.2,175,В производстве,AAI Corporation,Нет данных,GPS,Нет данных,,
502,США,Самолетный тип,300,Нет данных,50,9500,Шасси,Шасси,Газотурбинный,18,120,Снято с производства,Advanced Soaring Concepts,Нет данных,Нет данных,Нет данных,,
503,США,Коптерный тип,Нет данных,Нет данных,250,5100,Вертикальный,Вертикальный,ДВС,,230,Снято с производства,Advanced Tactics,Нет данных,Нет данных,Нет данных,,Нет данных
504,США,Коптерный тип,Нет данных,0.5,10,350,Вертикальный,Вертикальный,Электрический,,90,"В производстве, В разработке",Advanced Tactics,Нет данных,Нет данных,Нет данных,,0.34
505,США,Коптерный тип,Нет данных,0.67,50,350,Вертикальный,Вертикальный,ДВС,,90,В разработке,Advanced Tactics,Нет данных,Нет данных,Нет данных,,Нет данных
506,США,Самолетный тип,605,0.75,185,6100,Пусковая установка,На фюзеляж,ДВС,4.06,540,Снято с производства,,Нет данных,Нет данных,Нет данных,,
507,СССР,Самолетный тип,5370,Нет данных,1000,6000,Шасси,"Парашютная система, Шасси",Газотурбинный,3.88,1110,Снято с производства,ОКБ Туполева,,,,,
508,СССР,Самолетный тип,1230,0.22,180,1000,Пусковая установка,Парашютная система,Газотурбинный,2.24,950,Снято с производства,ОКБ Туполева,,,,,
509,СССР,Самолетный тип,1400,Нет данных,360,5000,Пусковая установка,Парашютная система,Газотурбинный,2.25,940,Снято с производства,ОКБ Туполева,,,,,
510,СССР,Самолетный тип,380,8,80,3500,Пусковая установка,Парашютная система,ДВС,5.9,150,Снято с производства,Андреев (Ариез),,,–40°С..+50°С,,
511,США,Коптерный тип,Нет данных,Нет данных,5,250,Вертикальный,Вертикальный,Электрический,,45,В производстве,Нет данных,Нет данных,Нет данных,Нет данных,,Нет данных
512,США,Коптерный тип,2.5,0.67,3,150,Вертикальный,Вертикальный,Электрический,,60,В производстве,AeroVironment,Нет данных,Нет данных,Нет данных,,0.8
513,США,Самолетный тип,5,0.75,40,2100,Пусковая установка,На фюзеляж,Электрический,1,70,В производстве,AeroVironment,Нет данных,Нет данных,Нет данных,,
514,США,Самолетный тип,150,1.5,20,3100,Вертикальный,Вертикальный,ДВС,1.2,50,Снято с производства,AeroVironment,23,Нет данных,Нет данных,,
515,Россия,Самолетный тип,21,8,600,3000,Пусковая установка,Парашютная система,ДВС,3.13,115,В производстве,АФМ-Сервис,5,"GPS, ГЛОНАСС, Инерциальная навигация",−30°C..+40 °C,,
516,США,Коптерный тип,5,120,0.045,45,Вертикальный,Вертикальный,Электрический,,10,В производстве,AeroVironment,Нет данных,Нет данных,Нет данных,,0.8
517,США,Самолетный тип,150,Нет данных,50,5000,Шасси,Шасси,ДВС,4.84,180,В производстве,Aero Telemetry,Нет данных,Нет данных,Нет данных,,
518,Россия,Самолетный тип,2000,24,6500,19000,Шасси,Шасси,Газотурбинный,35,750,В производстве,ОКБ «Сухой»,1500,ГЛОНАСС,,,
519,США,Самолетный тип,Нет данных,Нет данных,Нет данных,Нет данных,Пусковая установка,На фюзеляж,ДВС,6.66,Нет данных,В производстве,Aero Telemetry,Нет данных,Нет данных,Нет данных,,
520,Россия,Вертолетный тип,37,1.5,18,1000,Вертикальный,Вертикальный,ДВС,,80,В производстве,НПП Радар-ММС,,,,1.8,
521,Россия,Вертолетный тип,500,8,500,4000,Вертикальный,Вертикальный,ДВС,,200,В производстве,НПП Радар-ММС,,,,6.2,
522,Россия,Самолетный тип,11.3,2.5,40,3000,Пусковая установка,Парашютная система,Электрический,1.82,100,В производстве,Рекорд-Электроникс,1.3,,,,
523,США,Самолетный тип,120,Нет данных,35,2100,Шасси,Шасси,ДВС,16.5,180,В производстве,Aero Telemetry,Нет данных,Нет данных,Нет данных,,
524,США,Коптерный тип,3.3,0.83,2,150,Вертикальный,Вертикальный,Электрический,,65,Снято с производства,Amazon,Нет данных,Нет данных,Нет данных,,Нет данных
525,Россия,Самолетный тип,30,12,1200,3100,Пусковая установка,Парашютная система,Электрический,3.5,180,В производстве,Завант,,,,,
526,США,Самолетный тип,1020,4,300,6100,Вертикальный,Вертикальный,Газотурбинный,5.34,520,Снято с производства,American Dynamics,Нет данных,Нет данных,Нет данных,,
527,Россия,Вертолетный тип,40,4,40,2100,Вертикальный,Вертикальный,ДВС,,70,В производстве,КБ «Искатель»,,,,2.2,
528,Россия,Вертолетный тип,120,2.5,200,3100,Вертикальный,Вертикальный,ДВС,,120,В производстве,Московский авиационный институт,30,,,3,
529,Россия,Самолетный тип,50,12,50,5000,Шасси,Шасси,ДВС,2.8,140,В производстве,Автономные аэрокосмические системы — ГеоСервис,25,,–35°С..+45°С,,
530,Россия,Коптерный тип,5.55,1.5,40,1200,Вертикальный,Вертикальный,Электрический,,54,В производстве,ЮВС Авиа,1,ГЛОНАСС,–40°С..+50°С,,
531,Россия,Самолетный тип,12,5,400,3100,Пусковая установка,"Парашютная система, Шасси",ДВС,3.4,100,Снято с производства,Аэрокон,1,,−30°C.. +50°C,,
532,Россия,Самолетный тип,1900,26,240,6000,Шасси,Шасси,ДВС,13.42,287,Снято с производства,Иркут,250,,,,
533,Россия,Вертолетный тип,300,,100,3000,Вертикальный,Вертикальный,ДВС,,150,В производстве,ОКБ Камова,,,,4,
534,США,Самолетный тип,72,6,100,4100,Пусковая установка,Парашютная система,Электрический,4.3,100,В производстве,L-3 Unmanned Systems,Нет данных,Нет данных,Нет данных,,
535,США,Самолетный тип,283,Нет данных,720,5000,Шасси,Шасси,ДВС,6.7,230,В производстве,Департамент энергетики США,Нет данных,Нет данных,–40°С..+40°С,,
536,США,Самолетный тип,23,8,42,4100,Пусковая установка,На фюзеляж,ДВС,3.05,167,В производстве,Arcturus UAV,Нет данных,Нет данных,Нет данных,,
537,США,Самолетный тип,38.6,Нет данных,50,4100,Пусковая установка,На фюзеляж,ДВС,3.94,175,В производстве,Arcturus UAV,Нет данных,Нет данных,Нет данных,,
538,США,Самолетный тип,180,Нет данных,1500,8000,Вертикальный,Вертикальный,Электрический,,100,В производстве,World Surveillance Group Inc,13000,GPS,Нет данных,,
539,США,Вертолетный тип,2,0.75,5,500,С руки,В сетку,Электрический,,50,В производстве,Ascent AeroSystems,Нет данных,Нет данных,Нет данных,0.24,
540,США,Самолетный тип,40,4,35,3000,Пусковая установка,В сетку,ДВС,,70,Снято с производства,Нет данных,Нет данных,Инерциальная навигация,Нет данных,,
541,США,Самолетный тип,Нет данных,0.33,250,9100,Вертикальный,В сетку,Газотурбинный,1.14,1120,Снято с производства,Alliant Techsystems,Нет данных,Нет данных,Нет данных,,
542,США,Самолетный тип,150,Нет данных,100,9000,Пусковая установка,На фюзеляж,Газотурбинный,,,Снято с производства,Martin Marietta,Нет данных,Нет данных,Нет данных,,
543,США,Коптерный тип,65,Нет данных,5,3100,Вертикальный,Вертикальный,Газотурбинный,,60,В производстве,Aurora Flight Sciences,Нет данных,Нет данных,Нет данных,,1
544,США,Самолетный тип,5000,37,3200,10200,Шасси,Шасси,ДВС,40,120,Снято с производства,Aurora Flight Sciences,Нет данных,Нет данных,Нет данных,,
545,США,Самолетный тип,2500,4,750,5100,Пусковая установка,На фюзеляж,Газотурбинный,,Нет данных,В производстве,Aurora Flight Sciences,Нет данных,Нет данных,Нет данных,,
546,США,Вертолетный тип,7,2,15,1500,Вертикальный,Вертикальный,ДВС,,60,В производстве,AutoCopter Corporation,Нет данных,Нет данных,Нет данных,1.5,
547,США,Самолетный тип,59,Нет данных,200,4600,Шасси,Шасси,ДВС,4.27,125,В производстве,BAI Aerosystems,Нет данных,Нет данных,Нет данных,,
548,США,Самолетный тип,14630,Нет данных,22780,18300,Шасси,Шасси,Газотурбинный,39.9,850,В производстве,Northrop Grumman,Нет данных,Нет данных,Нет данных,,
549,США,Самолетный тип,45,24,250,4100,Шасси,Шасси,ДВС,3.9,120,В производстве,MLB Co,Нет данных,Нет данных,Нет данных,,
550,США,Самолетный тип,280,Нет данных,180,30000,Пусковая установка,На фюзеляж,Газотурбинный,1,4500,В производстве,Beechcraft,Нет данных,Нет данных,Нет данных,,
551,США,Самолетный тип,300,1,400,13100,Пусковая установка,На фюзеляж,ДВС,3.95,560,Снято с производства,Beechcraft,Нет данных,Нет данных,Нет данных,,
552,США,Самолетный тип,Нет данных,Нет данных,500,5100,Пусковая установка,На фюзеляж,Газотурбинный,Нет данных,420,В производстве,Bell Helicopter,Нет данных,Нет данных,Нет данных,,
553,Россия,Самолетный тип,20,8,800,3000,Пусковая установка,Парашютная система,ДВС,1.3,125,В производстве,АФМ-Сервис,5,,−30°C..+40 °C,,
554,Россия,Самолетный тип,6,1,15,3000,Пусковая установка,Парашютная система,Электрический,1.8,100,Снято с производства,НТЦ «Рисса»,,,,,
555,Россия,Самолетный тип,30,12,200,3100,Пусковая установка,Парашютная система,ДВС,3.52,150,В производстве,Aerob,30,"GPS, ГЛОНАСС",–40°С..+50°С,,
556,Россия,Коптерный тип,3,0.67,2.5,300,Вертикальный,Вертикальный,Электрический,,35,В производстве,Промтехнология,1,,,,
557,Россия,Коптерный тип,6.5,0.67,3,300,Вертикальный,Вертикальный,Электрический,,40,В производстве,Промтехнология,3,,,,
558,США,Коптерный тип,0.085,0.5,17,240,С руки,В сетку,Электрический,0.15,53,Снято с производства,"AeroVironment, DARPA",Нет данных,Нет данных,Нет данных,,
559,Россия,Коптерный тип,7,4,120,2000,Вертикальный,Вертикальный,Электрический,,120,В производстве,Аэроксо,1.5,,,,
560,США,Самолетный тип,760,Нет данных,1000,12000,Вертикальный,Вертикальный,Электрический,,180,В производстве,World Surveillance Group Inc,Нет данных,Нет данных,Нет данных,,
561,США,Самолетный тип,9070,80,500,20500,Шасси,Шасси,ДВС,61,260,Снято с производства,Boeing,Нет данных,Нет данных,Нет данных,,
562,Канада,Вертолетный тип,80,0.3,15,2600,Вертикальный,Вертикальный,ДВС,,80,В производстве,Aethon Technologies,31.5,,,2.79,
