,Страна,Категория,"Взлетный вес, кг","Длительность полета, час","Практическая дальность, км","Практический потолок, м",Метод запуска,Метод посадки,Тип двигателя,"Размах крыльев, м","Максимальная скорость полета, км/ч",Статус,Производитель,"Полезная нагрузка, кг",Навигация,Диапазон рабочих температур,"Диаметр несущего винта, м","Диагональ рамы, м"
955,Китай,Самолетный тип,26,12,120,4100,Пусковая установка,Парашютная система,ДВС,3.6,120,В производстве,China Aerospace Science and Industry Corporation,5,,,,
956,Китай,Коптерный тип,0.08,0.1,0.04,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,,,,0.15
957,Китай,Самолетный тип,,3,150,4100,Шасси,Шасси,ДВС,3.98,140,В производстве,China Aerospace Science and Industry Corporation,,,,,
958,Китай,Коптерный тип,0.23,0.23,0.5,100,Вертикальный,Вертикальный,Электрический,,54,В производстве,Cheerson,,GPS,,,0.245
959,Китай,Самолетный тип,85,6,100,3500,Шасси,"Парашютная система, Шасси",ДВС,4.6,140,В производстве,China Aerospace Science and Industry Corporation,15,,,,
960,Китай,Самолетный тип,1000,9,350,9100,Пусковая установка,Парашютная система,ДВС,5.8,750,В производстве,China Aerospace Science and Industry Corporation,130,,,,
961,Китай,Самолетный тип,85,6,150,3100,Шасси,Шасси,,4.6,120,В производстве,China Aerospace Science and Industry Corporation,15,,,,
962,Китай,Коптерный тип,0.5,0.25,0.3,,Вертикальный,Вертикальный,Электрический,,80,В производстве,Cheerson,,,,,0.31
963,Китай,Самолетный тип,1.5,0.75,20,3100,С руки,Парашютная система,Электрический,,100,В производстве,China Aerospace Science and Industry Corporation,,,-20°C…55 °C,,
964,Китай,Коптерный тип,0.035,0.08,0.03,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,,,,0.1
965,Китай,Самолетный тип,50,,40,4100,,,ДВС,1.85,110,В производстве,China Aerospace Science and Industry Corporation,,,,,
966,Китай,Самолетный тип,,12,1200,4100,,,ДВС,2,120,В производстве,China Aerospace Science and Industry Corporation,,,,,
967,Китай,Коптерный тип,0.12,0.08,0.03,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,,,,0.155
968,Китай,Самолетный тип,120,,250,3600,Шасси,Шасси,ДВС,2.4,120,В производстве,China Aerospace Science and Industry Corporation,,,,,
969,Китай,Самолетный тип,,,450,4600,Пусковая установка,Парашютная система,ДВС,,140,В производстве,China Aerospace Science and Industry Corporation,,,,,
970,Китай,Коптерный тип,0.024,0.08,0.03,,Вертикальный,Вертикальный,Электрический,,18,В производстве,Cheerson,,,,,0.04
971,Китай,Коптерный тип,2.6,0.58,10,250,Вертикальный,Вертикальный,Электрический,,50,В производстве,Chao-Yi Technology Research Institute Co,,,-40°C…60°C,,
972,Китай,Коптерный тип,0.043,0.08,0.05,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,,,,0.1
973,Китай,Коптерный тип,17,1.5,10,5000,Вертикальный,Вертикальный,Электрический,,50,В производстве,Chao-Yi Technology Research Institute Co,8,"Beidou, GPS",— 20°C…60°C,,
974,Китай,Коптерный тип,0.043,0.08,0.1,,Вертикальный,Вертикальный,Электрический,,60,В производстве,Cheerson,,,,,0.1
975,Китай,Самолетный тип,2.4,1,40,2100,С руки,,Электрический,1.6,100,В производстве,North Navigation Control Technology Co,1.2,,,,
976,Китай,Коптерный тип,0.257,0.08,0.03,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,,,,0.275
977,Китай,Коптерный тип,0.039,0.11,0.03,,Вертикальный,Вертикальный,Электрический,,18,В производстве,Cheerson,,,,,0.116
978,Китай,Коптерный тип,0.017,0.08,0.04,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,,,,0.042
979,Китай,Самолетный тип,20,1.5,150,4000,Пусковая установка,Парашютная система,ДВС,2.9,150,В производстве,Chunyi Aviation Science and Technology Co,5,,,,
980,Китай,Самолетный тип,18,2,250,4100,"Пусковая установка, Шасси","Парашютная система, Шасси",ДВС,2.7,140,В производстве,Chunyi Aviation Science and Technology Co,5,,-10°C…55°C,,
981,Китай,Самолетный тип,35,3,150,5000,Пусковая установка,Парашютная система,ДВС,2.95,130,В производстве,Chunyi Aviation Science and Technology Co,16,,,,
982,Китай,Коптерный тип,24.5,0.4,1,,Вертикальный,Вертикальный,Электрический,,79.2,В производстве,DJI,10,GPS,0°C…40°C,,1.52
983,Китай,Самолетный тип,3.5,1,50,4000,С руки,Шасси,Электрический,2.1,90,В производстве,Chunyi Aviation Science and Technology Co,1,,,,
984,Китай,Самолетный тип,3.5,1,30,4000,С руки,Парашютная система,ДВС,2.3,90,В производстве,Chunyi Aviation Science and Technology Co,1,,,,
985,Китай,Коптерный тип,3.6,0.46,3.5,,Вертикальный,Вертикальный,Электрический,,79.2,В производстве,DJI,3.4,GPS,-10°C…+40°C,,0.65
986,Китай,Самолетный тип,,1,,2000,Пусковая установка,Парашютная система,Электрический,1.87,120,В производстве,Chunyi Aviation Science and Technology Co,2.5,"GPS, Инерциальная навигация",-20°C до 55 °C,,
987,Китай,Самолетный тип,6,1,40,3600,Пусковая установка,Парашютная система,Электрический,1.87,140,В производстве,Chunyi Aviation Science and Technology Co,2.5,GPS,-20°C до 55 °C,,
988,Китай,Самолетный тип,2.9,1,40,3100,С руки,Парашютная система,Электрический,2.38,90,В производстве,Chunyi Aviation Science and Technology Co,,,,,
989,Китай,Коптерный тип,15.5,0.63,5,,Вертикальный,Вертикальный,Электрический,,65,В производстве,DJI,6,GPS,-10°C…+40°C,,1.133
990,Китай,Самолетный тип,135,,120,5100,С руки,Парашютная система,ДВС,5.37,160,В производстве,Chunyi Aviation Science and Technology Co,,,,,
991,Китай,Коптерный тип,6.14,0.63,8,3000,Вертикальный,Вертикальный,Электрический,,81,В производстве,DJI,1.45,"GPS, ГЛОНАСС",-20°…+50°C,,0.643
992,Китай,Коптерный тип,6.14,0.63,7,3000,Вертикальный,Вертикальный,Электрический,,82.2,В производстве,DJI,,"GPS, ГЛОНАСС",-20° C…+45° C,,0.643
993,Китай,Самолетный тип,6.7,1.33,30,3100,С руки,,Электрический,2.13,90,В производстве,Chunyi Aviation Science and Technology Co,,,,,
994,Китай,Коптерный тип,,,2.5,2100,Вертикальный,Вертикальный,Электрический,,36,В производстве,Chunyi Aviation Science and Technology Co,,,,,
995,Китай,Коптерный тип,6,0.63,,,Вертикальный,Вертикальный,Электрический,,49,В производстве,DJI,1.960,GPS,-10°C…+50°C,,0.74
996,Китай,Коптерный тип,9,,10,750,Вертикальный,Вертикальный,Электрический,,30,В производстве,Chunyi Aviation Science and Technology Co,,GPS,,,
997,Китай,Коптерный тип,22,0.26,1,250,Вертикальный,Вертикальный,Электрический,,25,В производстве,Chunyi Aviation Science and Technology Co,,GPS,,,
998,Китай,Коптерный тип,6.14,0.63,7,3000,Вертикальный,Вертикальный,Электрический,,82.8,В производстве,DJI,2.3,GPS,-20° C…+45° C,,0.887
999,Китай,Коптерный тип,12,,10,1000,Вертикальный,Вертикальный,Электрический,,36,В производстве,Chunyi Aviation Science and Technology Co,,GPS,,,
1000,Китай,Коптерный тип,6.14,0.53,7,3000,Вертикальный,Вертикальный,Электрический,,82.8,В производстве,DJI,1.87,GPS,-20° C…+45° C,,0.887
1001,Китай,Самолетный тип,7.5,1.5,40,4000,Пусковая установка,Парашютная система,Электрический,2.1,140,В производстве,Creaton Technology Co.,1.5,,,,
1002,Китай,Самолетный тип,6.5,1.5,50,2100,Пусковая установка,Парашютная система,Электрический,2.1,170,В производстве,Creaton Technology Co.,0.3,,,,
1003,Китай,Коптерный тип,6.14,0.56,8,3000,Вертикальный,Вертикальный,Электрический,,81,В производстве,DJI,1.34,"GPS, ГЛОНАСС",-20°…+50°C,,0.883
1004,Китай,Самолетный тип,15,6,50,3500,Шасси,Шасси,ДВС,2.5,170,В производстве,Creaton Technology Co.,1.5,,,,
1005,Китай,Коптерный тип,1.6,0.38,3,1000,Вертикальный,Вертикальный,Электрический,,40,В производстве,Creaton Technology Co.,0.3,GPS,,,
1006,Китай,Коптерный тип,,,2,250,Вертикальный,Вертикальный,Электрический,,36,В производстве,Creaton Technology Co.,,GPS,,,
1007,Китай,Коптерный тип,11,0.25,,,Вертикальный,Вертикальный,Электрический,,,В производстве,DJI,11,,-10°C…+40°C,,1.045
1008,Китай,Вертолетный тип,32,1,20,1200,Вертикальный,Вертикальный,ДВС,,100,В производстве,Skyship-Century Aviation and Technology Co.,12,,,,
1009,Китай,Коптерный тип,,0.66,2.5,350,Вертикальный,Вертикальный,Электрический,,40,В производстве,China Southern Power Grid Company,,GPS,,,
1010,Китай,Самолетный тип,140,,40,4100,Пусковая установка,Парашютная система,ДВС,4.3,210,В разработке,Northwestern Polytechnical University,28,,,,
1011,Канада,Коптерный тип,1.47,0.21,,2438,Вертикальный,Вертикальный,Электрический,,50,В производстве,DragonFly,0.42,GPS,,,0.725
1012,Китай,Вертолетный тип,,1.5,10,1000,Вертикальный,Вертикальный,ДВС,,110,В производстве,Divine Horse General Aviation Sport Co.,,,,,
1013,США,Коптерный тип,0.0115,0.16,0.1,,Вертикальный,Вертикальный,Электрический,,,В производстве,Estes,,,,,0.05
1014,США,Коптерный тип,0.058,0.11,0.072,,Вертикальный,Вертикальный,Электрический,,,В производстве,Estes,,,,,0.113
1015,Китай,Коптерный тип,1.5,0.66,1,,Вертикальный,Вертикальный,Электрический,,55,В производстве,Hubsan,,GPS,,,0.26
1016,Китай,Коптерный тип,1.2,0.42,1,250,Вертикальный,Вертикальный,Электрический,,36,В производстве,DJI,,GPS,,,
1017,Китай,Коптерный тип,0.06,0.11,0.1,100,Вертикальный,Вертикальный,Электрический,,,В производстве,Hubsan,,,,,0.114
1018,Китай,Коптерный тип,1.5,0.41,5,300,Вертикальный,Вертикальный,Электрический,,50,В производстве,DJI,,,0°C…40°C,,0.35
1019,Китай,Коптерный тип,0.051,0.11,0.1,,Вертикальный,Вертикальный,Электрический,,,В производстве,Hubsan,,,,,0.07
1020,Китай,Коптерный тип,8,0.33,10,1000,Вертикальный,Вертикальный,Электрический,,70,В производстве,DJI,2.5,GPS,,,0.8
1021,Китай,Коптерный тип,0.045,0.15,0.1,100,Вертикальный,Вертикальный,Электрический,,30,В производстве,Hubsan,0.025,,,,0.068
1022,Китай,Коптерный тип,8.2,0.58,10,1000,Вертикальный,Вертикальный,Электрический,,60,В производстве,DJI,,GPS,-10°C…+40°C,,0.9
1023,Китай,Вертолетный тип,0.24,0.5,2.5,1000,Вертикальный,Вертикальный,Электрический,,60,В производстве,Efly-Hobby Enterprise Group Co.,,,,0.34,
1024,Китай,Коптерный тип,1.5,0.35,1,250,Вертикальный,Вертикальный,Электрический,,60,В производстве,Hubsan,,GPS,,,0.20
1025,Китай,Вертолетный тип,100,,25,1200,Вертикальный,Вертикальный,ДВС,,95,В производстве,Efly-Hobby Enterprise Group Co.,35,,,3,
1026,Китай,Коптерный тип,0.0115,0.09,0.1,,Вертикальный,Вертикальный,Электрический,,,В производстве,Hubsan,,,,,0.05
1027,Китай,Вертолетный тип,400,3,150,3500,Вертикальный,Вертикальный,ДВС,,130,В производстве,Elecpro,100,,,5.1,
1028,Китай,Вертолетный тип,550,3,150,3500,Вертикальный,Вертикальный,ДВС,,130,В производстве,Elecpro,200,,,6.3,
1029,Китай,Вертолетный тип,1500,3,150,3500,Вертикальный,Вертикальный,ДВС,,160,В производстве,Elecpro,650,,,9.9,
1030,Китай,Самолетный тип,0.1,0.13,0.3,,Шасси,Шасси,Электрический,0.3108,40,В производстве,Hubsan,,GPS,,,
1031,Китай,Самолетный тип,150,2,100,4100,Пусковая установка,Парашютная система,ДВС,,120,В производстве,Emil Technology Co.,80,,,,
1032,Китай,Вертолетный тип,120,1,20,2100,Вертикальный,Вертикальный,ДВС,,120,В производстве,SYIA,30,,,,
1033,Китай,Коптерный тип,1.2,0.67,5,700,Вертикальный,Вертикальный,Электрический,,25,В производстве,Shenzhen AEE Technology co. Ltd.,,GPS,,,
1034,Китай,Коптерный тип,0.7,0.38,,,Вертикальный,Вертикальный,,,60,В производстве,Hubsan,,"GPS, ГЛОНАСС",,,0.3
1035,Китай,Коптерный тип,30,1.5,50,2500,Вертикальный,Вертикальный,Электрический,,120,В производстве,FACRI,,,,,
1036,Китай,Самолетный тип,,1,40,3100,Пусковая установка,,ДВС,,120,В производстве,FJUT,,,,,
